Ticker,Company,Industry,Shares,Value,Weight
AAPL,Apple,Tech,245,71,30
BAC,Bank of America,Banks,925,32,13.5
KO,Coke,Consumer Packaged Goods,400,22,9
AXP,Amex,Payments,151,19,7.8
WFC,Wells Fargo,Banks,323,17,7.1
KHC,Kraft Heinz,Consumer Packaged Goods,325,10,4.3
JPM,JP Morgan Chase,Banks,59,8.2,3.4
USB,US Bancorp,Banks,132,7.8,3.2
MCO,Moody's,Capital Markets,24,5.8,2.4
DAL,Delta,Airlines,70,4,1.7
BK,NY Mellon Bank,Banks,80,4,1.6
LUV,Southwest,Airlines,54,2.8,1.2
DVA,DaVita,Healthcare,38,2.8,1.2
GS,Goldman Sachs,Banks,12,2.7,1.1
GM,General Motors,Vehicles,75,2.7,1.1
VISA,Visa,Payments,10,1.9,0.8
UAL,United,Airlines,21,1.9,0.8
