Date,Close
3/10/20,57.97
3/11/20,55.61
3/12/20,49.36
3/13/20,51.57
3/16/20,41.05
3/17/20,42.51
3/18/20,40.85
3/19/20,41.65
3/20/20,37.37
3/23/20,36.76
3/24/20,41.04
3/25/20,44.08
3/26/20,47.96
3/27/20,46.8
3/30/20,47.55
3/31/20,47.81
4/1/20,44.62
4/2/20,43.79
4/3/20,40.96
4/6/20,46.11
4/7/20,46.68
4/8/20,49.11
4/9/20,48.81
4/13/20,47.85
4/14/20,50.22
4/15/20,48.29
4/16/20,46.45
4/17/20,49.73
4/20/20,47.79
4/21/20,46.05
4/22/20,46.38
4/23/20,45.74
4/24/20,46.05
4/27/20,47.84
4/28/20,49.09
4/29/20,51.54
4/30/20,49.05
5/1/20,48.25
5/4/20,47.7
5/5/20,48.17
5/6/20,47.68
5/7/20,48.5
5/8/20,48.51
5/11/20,48.35
5/12/20,45.96
5/13/20,44.03
5/14/20,44.74
5/15/20,47.17
5/18/20,49.76
5/19/20,50.26
5/20/20,50.85
5/21/20,54.3
5/22/20,53.41
5/26/20,55.3
5/27/20,55.29
5/28/20,54.08
5/29/20,52.76
6/1/20,53.33
6/2/20,54.34
6/3/20,55.24
6/4/20,54.83
6/5/20,57.26
6/8/20,57.42
6/9/20,56.24
6/10/20,54.81
6/11/20,52.66
6/12/20,52.46
6/15/20,52.6
6/16/20,55.55
6/17/20,54.54
6/18/20,53.45
6/19/20,52.64
6/22/20,52.82
6/23/20,53.25
6/24/20,51.53
6/25/20,50.87
6/26/20,49.54
6/29/20,50.77
6/30/20,50.56
7/1/20,51.18
7/2/20,51.75
7/6/20,52.64
7/7/20,50.8
7/8/20,50.87
7/9/20,49.99
7/10/20,51.07
7/13/20,50.37
7/14/20,49.86
7/15/20,52.63
7/16/20,53.51
7/17/20,52.91
7/20/20,51.74
7/21/20,53.07
7/22/20,53.44
7/23/20,53.39
7/24/20,52.89
7/27/20,52.08
7/28/20,51.78
7/29/20,52.6
7/30/20,51.6
7/31/20,51.99
8/3/20,51.89
8/4/20,53.28
8/5/20,53.54
